AO-85;40967;435.182 ;145.980 ;145.980 ;FM CTCSS 67.0Hz/200bps DUV;;inactive
AO-91;43017;435.250 ;145.960 ;145.960 ;FM* CTCSS 67.0Hz/200bps DUV;;active
AO-92;43137;435.350/1267.350;145.880 ;145.880 ;FM CTCSS 67.0Hz/200bps DUV;;active
AO-95;43770;435.300/1267.300;145.920 ;145.920 ;FM CTCSS 67.0Hz/200bps DUV*;;inactive
AO-109;47311;145.860-145.890;435.790-435.760;435.750 ;1k2 BPSK SSB CW* FT4*;;active
AprizeSat-1;28372;;;;;;unknown
AprizeSat-2;28366;;;;;;unknown
AprizeSat-3;35686;;;;;;unknown
AprizeSat-4;35684;;;;;;unknown
AprizeSat-5;37792;;;;;;unknown
AprizeSat-6;37793;;400.591 ;;9600bps GMSK;;unknown
AprizeSat-7;39416;;400.585 ;;9600bps GMSK;;unknown
AprizeSat-8;39425;;400.553 ;;9600bps GMSK;;unknown
AprizeSat-9;40018;;400.552 ;;9600bps GMSK;;unknown
AprizeSat-10;40019;;;;;;unknown
APSS-1;46932;;435.100 ;;9600bps GMSK;;unknown
AQT-D;44791;;;;;;re-entered
ARCE-1A;;;2417.000/2449.2815;;BPSK QPSK FSK;;inactive
ARCE-1B;;;2417.000/2449.2815;;BPSK QPSK FSK;;inactive
ARCE-1C;;;2417.000/2449.2815;;BPSK QPSK FSK;;inactive
ARC-1;40969;;437.565 ;2440.500 ;9600bps 1Mbps CW;;re-entered
Arduiqube;47963;;437.125 ;437.125 ;50/100*bdRTTY 500bdFSK CW;;active
ArduSat-1;39412;;437.325 ;437.000 ;9600bps MSK CW;WG9XFC-1;re-entered
ArduSat-2;39570;;437.xxx;;9600bps MSK CCSDS;WG9XFC-2;re-entered
ArduSat-X;39414;;437.345 ;437.007 ;9600bps MSK CW;WG9XFC-X;re-entered
Argus;;;2403.000-2403.400;437.290 ;1200bps AFSK;;failure
Argus-2;45257;;437.290 ;;9600bps GMSK;;re-entered
ARISSat-1;37772;435.742-435.758;145.938-145.922;145.919 ;FM linear/inverting;;re-entered
ARISSat-1;37772;;145.950 ;;FM SSTV Telemetry;;re-entered
ARISSat-1;37772;;145.918 ;145.919 ;BPSK-1000/CW;RS01S;re-entered
ARISSat-1;37772;;145.939 ;145.939 ;BPSK-400/CW;;re-entered
ARKSAT-1;;;435.450 ;;9600bps NBFM;;to be launched
Armadillo;44352;;437.525 ;;19k2*/38k4 GMSK;KE5DTW;re-entered
ARTSAT1-INVADER;39577;;437.200 ;437.325 ;1k2AFSK DigiTalker CW;JQ1ZKK;re-entered
ARTSAT2-DESPATCH;40321;;;437.325 ;CW;JQ1ZNN;deep space
ASELSAT;47441;;436.950 ;;;;unknown
AstroBio;53107;435.600 ;435.600/437.425*;IU0SIA;9600bps FSK Digipeater;;inactive
Astrocast-0.1;43798;;437.147/2403.000;;1200bps FSK;HB9GSF;active
Astrocast-0.2;44083;;437.175/2406.000;;1200bps FSK;HB9GSF;inactive
Astrocast-0304;54367;;1.531GHz;;400bps QPSK;;inactive
ASTROLAND-1;;145.875 ;436.888 ;436.888 ;1k2/2k4 AFSK FM APRS CW;AM2SAT;re-entered
